id,constructor,target,placement_error,final_v,final_a
graph-walk-psg-calm-7882d64d,graph-walk,calm,0.3510374379501418,0.4457643138129431,0.37512261445310346
graph-walk-psg-focused-13e19175,graph-walk,focused,0.27171233916439286,0.39762024531778767,0.49934189212620594
graph-walk-psg-excited-f1395e31,graph-walk,excited,0.5544596608848872,0.36324072509482147,0.5084347041444539
graph-walk-psg-rescue-59a12481,graph-walk,rescue,0.3123217249559322,0.4905419026731037,0.37385728518228906
valley-psg-calm-0379d965,valley,calm,0.2982174123144021,0.5022700757636248,0.3660226178728003
valley-psg-focused-b6b50cae,valley,focused,0.21860780026497065,0.4352144014002116,0.5592996686644951
valley-psg-excited-deb0fe71,valley,excited,0.42219142817565497,0.4978900100554363,0.5550844934549984
harmonic-golden-psg-calm-97bb7c28,harmonic-golden,calm,0.3394997966727646,0.47327309815724017,0.39667824927367046
harmonic-golden-psg-focused-1dcf0776,harmonic-golden,focused,0.21819814669011023,0.46489192473091556,0.48447757062295727
harmonic-golden-psg-excited-eb4786e9,harmonic-golden,excited,0.46496019374726144,0.508082505867047,0.4880992423486402
harmonic-golden-psg-rescue-d99e4151,harmonic-golden,rescue,0.3526038816468247,0.46241392742353715,0.4040189898329404
harmonic-prime-psg-calm-fc74a346,harmonic-prime,calm,0.3629995296691465,0.44457009454294244,0.39616633603275164
harmonic-prime-psg-focused-5ad8080b,harmonic-prime,focused,0.2599937890750757,0.42019068913537333,0.47840867219435296
harmonic-prime-psg-excited-8781a422,harmonic-prime,excited,0.5199550816763562,0.45624141492647263,0.4598931913574019
harmonic-prime-psg-rescue-1ba0ffa1,harmonic-prime,rescue,0.35389487208387,0.4554351017599151,0.39614561226820016
harmonic-organic-psg-calm-5750362e,harmonic-organic,calm,0.3453051915763023,0.4660607120996727,0.3965048501085963
harmonic-organic-psg-focused-42779d0f,harmonic-organic,focused,0.24906003346596556,0.42606090335420066,0.4909945814946284
harmonic-organic-psg-excited-83a703da,harmonic-organic,excited,0.5020029230938708,0.47580573078653576,0.4667181055620567
harmonic-organic-psg-rescue-11c54b6d,harmonic-organic,rescue,0.37843403340265425,0.4299604816686754,0.4019579766774637
polygon-pca-psg-calm-57b971bb,polygon-pca,calm,0.3379242348196031,0.4574144843767713,0.3690754403392274
polygon-pca-psg-focused-e4c8bfe0,polygon-pca,focused,0.29284865741497795,0.37438615685454146,0.5010184582038364
polygon-pca-psg-excited-fe6db76a,polygon-pca,excited,0.5207913141943621,0.3837536236848127,0.5370103082451977
polygon-pca-psg-rescue-67f0bbe0,polygon-pca,rescue,0.34295332268588014,0.4633205989250184,0.3882336381749428
valley-psg-calm-05f538f2,valley,calm,0.29438896063131426,0.5125075019179004,0.3739602641303738
valley-psg-calm-4876a2ae,valley,calm,0.3447196818181673,0.4573849939917468,0.38223094493419185
valley-psg-calm-0379d965,valley,calm,0.2982174123144021,0.5022700757636248,0.3660226178728003
valley-psg-calm-8f575d87,valley,calm,0.30539558067062633,0.48851281276385516,0.35776853806915493
valley-psg-calm-da07eb5e,valley,calm,0.27834171798030954,0.53423308620721,0.3758372852399766
harmonic-golden-psg-calm-4efc3a1c,harmonic-golden,calm,0.3297280826419165,0.5073801624347165,0.42328507093513884
harmonic-golden-psg-calm-6c7c3bcf,harmonic-golden,calm,0.3594604920321929,0.4390777593336958,0.38038626774527773
harmonic-golden-psg-calm-e6f4d11f,harmonic-golden,calm,0.35771450356952245,0.4572662496595436,0.40558846630003653
harmonic-golden-psg-calm-3b1f7449,harmonic-golden,calm,0.3344724803477756,0.4727080032713128,0.38703205249424727
harmonic-golden-psg-calm-ed9d973f,harmonic-golden,calm,0.3232452678451232,0.4843494638914696,0.38416648948577975
harmonic-golden-psg-rescue-56f69a2d,harmonic-golden,rescue,0.3487799392476853,0.4729241002229776,0.41184048665062234
harmonic-golden-psg-rescue-2eeb20bd,harmonic-golden,rescue,0.3729677900517292,0.4513020349691941,0.4233483783297434
harmonic-golden-psg-rescue-91653d2f,harmonic-golden,rescue,0.35842722064483623,0.45602809712475034,0.4050624120093365
harmonic-golden-psg-rescue-d37393a3,harmonic-golden,rescue,0.37927262389111027,0.42485510031923407,0.3952652489431549
harmonic-golden-psg-rescue-bf3b46d3,harmonic-golden,rescue,0.33611066104642223,0.4722489923554368,0.38927428304313494
shuffled-graph-walk-psg-calm-7882d64d-abf99e1a,shuffled:graph-walk,calm,0.4393408352216963,0.378742869201402,0.434922353820343
shuffled-valley-psg-calm-0379d965-f794b1cd,shuffled:valley,calm,0.33775267331829745,0.44850935914606543,0.35225065455077825
